1.2.3.4		adsl-001-002-003-004.example.com
123.45.1.1	word1word1.example.com
62.210.114.125	125-114-adsl.example.com
62.210.114.125	114-210-adsl.example.com
62.210.114.125	210-62-adsl.example.com
62.210.114.125	114-125-adsl.example.com
62.210.114.125	210-114-adsl.example.com
62.210.114.125	62-210-adsl.example.com
62.210.114.125	62x210x114x125-adsl.example.com
62.210.114.125	adsl-125-114.example.com
62.210.114.125	adsl-114-210.example.com
62.210.114.125	adsl-210-62.example.com
62.210.114.125	adsl-114-125.example.com
62.210.114.125	adsl-210-114.example.com
62.210.114.125	adsl-62-210.example.com
62.210.114.125	adsl-62x210x114x125.example.com
62.210.114.125	adsl-62210114125.example.com
62.210.114.125	adsl-3ED2727D.example.com
62.210.114.125	adsl-1053979261.example.com
62.210.114.125	adsl-7664471175.example.com
83.30.186.214 	cek214.neoplus.adsl.tpnet.pl
194.117.241.98	241net98.net.zeork.com.pl
193.108.91.155	ns1-155.akam.net.
193.189.231.2	ns-2.mediaways.net.
66.249.5.25	19.mars.orderbox-dns.com.
213.60.241.217	cm241217.red.mundo-r.com
189.25.186.220	18925186220.user.veloxzone.com.br
201.232.130.81	cable201-232-130-81.epm.net.co.
81.39.250.231	231.red-81-39-250.dynamicip.rima-tde.net
84.163.26.165	p54a31aa5.dip0.t-ipconnect.de
89.210.195.170	ppp089210195170.dsl.hol.gr
87.19.218.240	host240-218-dynamic.19-87-r.retail.telecomitalia.it
88.224.138.139	dsl88-244-35467.ttnet.net.tr
